station_id,source_year,example_local_path
712510-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71251099999.csv
712590-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71259099999.csv
712630-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71263099999.csv
712640-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71264099999.csv
712650-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71265099999.csv
712670-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71267099999.csv
712680-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71268099999.csv
712690-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71269099999.csv
712820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71282099999.csv
712910-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71291099999.csv
712920-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71292099999.csv
712940-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71294099999.csv
712950-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71295099999.csv
712960-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71296099999.csv
712970-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71297099999.csv
713070-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71307099999.csv
713110-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71311099999.csv
713140-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71314099999.csv
713150-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71315099999.csv
713170-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71317099999.csv
