diagnostic_run_id,plant_ecwt_run_id,station_id,station_name,station_state,station_country,station_first_observation_utc,station_last_observation_utc,impacted_blocked_plant_count,min_candidate_rank_order,min_candidate_distance_km,sample_blocked_plants,fixed_expected_djf_hours,fixed_valid_djf_hours,fixed_missing_djf_hours,fixed_coverage_ratio,plant_weighted_missing_djf_hours,missing_station_year_count,complete_loaded_year_count,partial_loaded_year_count,empty_loaded_year_count,outside_station_metadata_window_year_count,terminal_aws_missing_year_count,retryable_download_failure_year_count,downloaded_no_canonical_djf_year_count,available_raw_not_loaded_year_count,raw_inventory_missing_year_count,no_download_or_manifest_evidence_year_count,top_gap_years
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-54795,DURHAM 2 SSW,NH,US,2001-12-15 16:00:00-08,2025-08-27 17:00:00-07,52,86,141.588,"Winsor Dam Power Station | Amherst College Co Gen | Mass Midstate Solar 2 | Southbridge PV | Southbridge Landfill Gas-to-Energy | Hadley Solar NG, LLC | Syncarpha Palmer, LLC | Palmer Landfill",56328,51091,5237,0.907027,272324,11,7,3,0,1,0,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2001:partial_loaded:1838h; 2025:partial_loaded:744h; 2002:partial_loaded:382h; 2017:complete_loaded:63h; 2024:complete_loaded:18h; 2005:complete_loaded:3h; 2004:complete_loaded:2h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-23907,AUSTIN 33 NW,TX,US,2008-01-31 16:00:00-08,2025-08-27 17:00:00-07,13,4,30.918,Decker Creek | Austin | Marshall Ford | Central Utility Plant | Hal C Weaver Power Plant | GRS Sunset Farms | Domain Integrated Energy System | Robert Mueller Energy Center,56328,37366,18962,0.663365,246506,21,11,2,0,8,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2007:outside_station_metadata_window:2160h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-26494,FAIRBANKS 11 NE,AK,US,2002-08-08 17:00:00-07,2025-08-27 17:00:00-07,21,3,16.582,Chena Power Plant | North Pole | Fairbanks | Healy | Glennallen | Valdez | Barrow | Galena Electric Utility,56328,46001,10327,0.816663,216867,13,6,4,0,2,1,0,0,0,0,0,2000:outside_station_metadata_window:2184h; 2006:terminal_aws_missing:2160h; 2001:outside_station_metadata_window:2160h; 2002:partial_loaded:1435h; 2021:partial_loaded:906h; 2025:partial_loaded:744h; 2022:partial_loaded:577h; 2003:complete_loaded:71h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,997286-99999,PHILADELPHIA,,US,2007-12-31 16:00:00-08,2025-08-23 17:00:00-07,10,48,95.183,Matrix Buildings A&B (Perth Amboy) Solar | Tinton Falls Solar Farm | IFF Hazlet | US Foods Solar | Old Bridge Solar Farm | IFF Union Beach Project | Ben Moreell Solar Farm | AT&T Middletown,56328,34683,21645,0.615733,216450,26,13,4,0,8,1,0,0,0,0,0,2016:terminal_aws_missing:2184h; 2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2007:outside_station_metadata_window:2160h; 2006:outside_station_metadata_window:2160h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,714320-99999,PORT WELLER (AUT)  ONT,,CA,1977-06-10 17:00:00-07,2025-08-23 17:00:00-07,35,21,83.258,"S A Carlson | Chautauqua LFGTE Facility | Ripley Westfield Wind LLC | Cassadaga Wind Farm | Cummins, Inc | Arkwright Summit Wind Farm LLC | Fredonia Solar LLC | South Ripley Solar",56328,50633,5695,0.898896,199325,26,17,9,0,0,0,0,0,0,0,0,2006:partial_loaded:1422h; 2025:partial_loaded:790h; 2008:partial_loaded:754h; 2005:partial_loaded:748h; 2003:partial_loaded:446h; 2009:partial_loaded:331h; 2002:partial_loaded:267h; 2000:partial_loaded:170h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,715050-99999,HAINES JUNCTION,,CA,1991-11-05 16:00:00-08,2025-08-23 17:00:00-07,31,6,180.306,Annex Creek | Gold Creek | Lemon Creek | Salmon Creek 1 | Skagway | Haines | Snettisham | Petersburg,56328,50048,6280,0.888510,194680,26,16,10,0,0,0,0,0,0,0,0,2003:partial_loaded:1226h; 2002:partial_loaded:946h; 2020:partial_loaded:932h; 2025:partial_loaded:779h; 2023:partial_loaded:618h; 2024:partial_loaded:519h; 2021:partial_loaded:350h; 2017:partial_loaded:226h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,994340-99999,SOUTH BASS ISLAND  OH,OH,US,1985-04-30 17:00:00-07,2025-08-23 17:00:00-07,11,65,188.657,"Bunge North America East LLC | Piqua Power Plant | Versailles Peaking | Celina Solar Project #1, LLC | HMW Minster PV I | HMV Minster Energy Storage System | DG AMP Solar Versailles | DG AMP Solar Piqua Staunton",56328,39523,16805,0.701658,184855,26,16,4,0,0,6,0,0,0,0,0,2016:terminal_aws_missing:2184h; 2000:terminal_aws_missing:2184h; 2007:terminal_aws_missing:2160h; 2006:terminal_aws_missing:2160h; 2005:terminal_aws_missing:2160h; 2001:terminal_aws_missing:2160h; 2021:partial_loaded:1423h; 2025:partial_loaded:777h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,999999-63869,FAIRHOPE 3 NE,AL,US,2006-07-12 17:00:00-07,2025-08-27 17:00:00-07,12,7,23.796,"Theodore Cogen Facility | W&T Onshore Treating Facility (OTF) | Yellowhammer Gas Plant | Foley Solar, LLC | Standby Generation Plant | Gulf Coast Solar Center II | Gulf Coast Solar Center III | Chevron Oil",56328,41100,15228,0.729655,182736,18,10,2,0,6,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2005:outside_station_metadata_window:2160h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2006:partial_loaded:1416h; 2025:partial_loaded:748h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,994700-99999,AUGUSTINE ISLAND,AK,US,2002-07-02 17:00:00-07,2025-08-23 17:00:00-07,9,7,95.271,Naknek | Nunapitchuk | McGrath | Bethel | Aniak | Newhalen | Upper Kalskag | Kasigluk,56328,37489,18839,0.665548,169551,26,15,5,0,2,4,0,0,0,0,0,2016:terminal_aws_missing:2184h; 2000:outside_station_metadata_window:2184h; 2007:terminal_aws_missing:2160h; 2006:terminal_aws_missing:2160h; 2005:terminal_aws_missing:2160h; 2001:outside_station_metadata_window:2160h; 2002:partial_loaded:1424h; 2021:partial_loaded:1422h
fixed_period_gap_causes_20260625T123832Z,plant_ecwt_provisional_fixed_period_20260625T121752Z,703059-99999,KING COVE,,US,2005-09-29 17:00:00-07,2025-08-23 17:00:00-07,10,2,7.725,Sand Point | Dillingham | Togiak | King Cove | Dutch Harbor | Unalaska Power Module | Westward Seafoods | Unisea G 2,56328,39782,16546,0.706256,165460,26,14,7,0,5,0,0,0,0,0,0,2004:outside_station_metadata_window:2184h; 2000:outside_station_metadata_window:2184h; 2003:outside_station_metadata_window:2160h; 2002:outside_station_metadata_window:2160h; 2001:outside_station_metadata_window:2160h; 2005:partial_loaded:1440h; 2021:partial_loaded:1027h; 2006:partial_loaded:785h
