raw_canonical_audit_run_id,gap_audit_run_id,station_id,station_name,station_state,station_country,station_year_count,impacted_plant_count,gap_table_missing_hours,canonical_missing_expected_window_hours,window_missing_minus_gap_table_missing_hours,source_hour_absent_count,loader_rejected_source_hour_count,loader_invalid_tmp_hour_count,loader_rejected_plausibility_hour_count,accepted_raw_not_in_canonical_hour_count,raw_present_unclassified_hour_count,accepted_raw_not_in_canonical_year_count,expected_window_mismatch_year_count,top_missing_years,primary_root_cause
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-53149,TORREY 7 E,UT,US,5,9,2181,2181,0,2178,0,3,0,0,0,0,0,2007:1416h; 2025:743h; 2024:19h; 2022:2h; 2010:1h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,999999-04138,BRIGHAM CITY 28 WNW,UT,US,3,8,2178,2178,0,2178,0,0,0,0,0,0,0,2007:1416h; 2025:743h; 2024:19h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,722068-53860,JACKSONVILLE/CRAIG,FL,US,6,26,907,907,0,787,0,120,0,0,0,0,0,2010:744h; 2004:52h; 2007:50h; 2006:44h; 2005:13h; 2009:4h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,725327-99999,PORTER CO MUNI,IN,US,6,30,816,817,1,188,0,629,0,0,0,0,0,2005:252h; 2004:213h; 2003:147h; 2002:126h; 2000:53h; 2001:26h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,723754-99999,ST JOHNS INDUSTRIAL,AZ,US,6,6,788,789,1,377,0,412,0,0,0,0,0,2005:377h; 2001:159h; 2003:77h; 2002:68h; 2000:56h; 2004:52h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,725686-99999,CONVERSE CO,WY,US,6,18,780,781,1,17,0,764,0,0,0,0,0,2000:279h; 2005:158h; 2002:149h; 2003:105h; 2001:45h; 2004:45h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,722347-13833,HAGLER AAF,MS,US,6,8,777,777,0,749,0,28,0,0,0,0,0,2010:745h; 2009:12h; 2006:8h; 2008:6h; 2005:4h; 2007:2h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,723116-99999,DARLINGTON CO JETPOR,SC,US,6,32,775,776,1,12,0,764,0,0,0,0,0,2001:372h; 2003:113h; 2002:102h; 2000:98h; 2004:79h; 2005:12h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,726777-99999,BAKER MUNI,MT,US,6,4,765,766,1,22,0,744,0,0,0,0,0,2004:294h; 2000:198h; 2003:128h; 2001:65h; 2002:58h; 2005:23h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,747540-99999,ALEXANDRIA INT,LA,US,6,4,750,751,1,19,0,732,0,0,0,0,0,2001:318h; 2004:122h; 2000:107h; 2002:104h; 2003:81h; 2005:19h,loader_invalid_tmp
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,722037-99999,NORTH PERRY,FL,US,6,8,737,738,1,672,0,66,0,0,0,0,0,2001:254h; 2000:195h; 2002:113h; 2003:95h; 2004:62h; 2005:19h,source_hour_absent
near_threshold_raw_canonical_gap_audit_20260625T062134Z,near_threshold_station_year_gap_audit_20260625T060905Z,723898-99999,HANFORD MUNI,CA,US,6,265,732,733,1,22,0,711,0,0,0,0,0,2003:397h; 2004:164h; 2000:90h; 2001:38h; 2005:24h; 2002:20h,loader_invalid_tmp
